scenario,description,state(s),building type(s),onsite pct fossil reduction,energy index improvement,stretch pct improvement,start year,applicable fraction,fraction notes,type,,,,,,,,,,
reference,California Title 24: Requirements for buildings that install electric heat pump equipment (efficiency at base code level).,CA,all,100,none,,2026,0.8,Assume majority of builders go electric route to avoid more stringent efficiency requirements.,state,,,,,,,,,,
reference,California Title 24: Requirements for buildings that do not install electric heat pump equipment (assume higher efficiency requirements to meet Title 24 stretch equivalency).,CA,all,,stretch,20,2026,0.2,Assume minority of builders install gas while choosing to meet more stringent efficiency requirements.,state,,,,,,,,,,
reference,"Lancaster, CA's Zero Net Energy ordinance requires at least 2kWh of solar generation per newly constructed home, beginning in 2017. 

https://lancasterenergy.com/2017/10/12/1274/#:~:text=The%20first%20of%20its%20kind,home%20built%2C%20beginning%20in%202017",CA,all residential,,stretch,20,2017,0.004,"Tiny fraction but interesting code, included just as an example of more aggressive solar codes

Used Lancaster city, res site_energy",local,,,,,,,,,,
aggressive,California Title 24: Requirements for buildings that install electric heat pump equipment (efficiency at base code level).,CA,all,100,none,,2026,0.8,Assume majority of builders go electric route to avoid more stringent efficiency requirements.,state,,,,,,,,,,
aggressive,California Title 24: Requirements for buildings that do not install electric heat pump equipment (assume higher efficiency requirements to meet Title 24 stretch equivalency).,CA,all,,stretch,20,2026,0.2,Assume minority of builders install gas while choosing to meet more stringent efficiency requirements.,state,,,,,,,,,,
aggressive,"Lancaster, CA's Zero Net Energy ordinance requires at least 2kWh of solar generation per newly constructed home, beginning in 2017. 

https://lancasterenergy.com/2017/10/12/1274/#:~:text=The%20first%20of%20its%20kind,home%20built%2C%20beginning%20in%202017",CA,all residential,,stretch,20,2017,0.004,"Tiny fraction but interesting code, included just as an example of more aggressive solar codes

Used Lancaster city, res site_energy",local,,,,,,,,,,
reference,"Oak Park Illinois was the first municipality in the Midwest to approve an electrification ordinance as part of the building code. The ordinance requires any new building constructed after January 1, 2024, to be fully electric, meaning that there will be no natural gas hookups within the structure.

https://www.oakpark.com/2023/11/27/new-building-code-requires-all-electric-construction-to-reduce-greenhouse-gas-emissions/",IL,"all residential, all commercial",100,,,2024,0.163,This fraction might be slightly misleading because cook county includes chicago - had to use county for comstock but used oak park for res stock,local,,,,,,,,,,
aggressive,"Oak Park Illinois was the first municipality in the Midwest to approve an electrification ordinance as part of the building code. The ordinance requires any new building constructed after January 1, 2024, to be fully electric, meaning that there will be no natural gas hookups within the structure.

https://www.oakpark.com/2023/11/27/new-building-code-requires-all-electric-construction-to-reduce-greenhouse-gas-emissions/",IL,"all residential, all commercial",100,,,2024,0.163,This fraction might be slightly misleading because cook county includes chicago - had to use county for comstock but used oak park for res stock,local,,,,,,,,,,
aggressive,Assume state-wide code similar to CA enacted by 2035.,IL,"all residential, all commercial",100,adopt current,,2035,0.8,Assume majority of builders go electric route to avoid more stringent efficiency requirements.,state,,,,,,,,,,
aggressive,Assume state-wide code similar to CA enacted by 2035.,IL,"all residential, all commercial",,stretch,20,2035,0.2,Assume minority of builders install gas while choosing to meet more stringent efficiency requirements.,state,,,,,,,,,,
reference,"Massachusetts Stretch Energy Code serves as a more energy-efficient alternative to the Base Code. The Stretch code increases the energy efficiency requirements for all new residential and commercial buildings, as well as for additions and renovations that require building permits.The Stretch Code applies to both new residential and commercial buildings, as well as certain renovations and additions requiring building permits. Municipalities may adopt the Stretch Code, and as of January 2023, 300 out of 351 Massachusetts cities and towns had done so.

https://www.mass.gov/regulations/225-CMR-2200-massachusetts-stretch-code-and-specialized-code-for-low-rise-residential-2025-residential-low-rise-amendments-to-iecc2021-and-irc-2021-chapter-11-energy-efficiency",MA,"all residential, all commercial",,stretch,20,2025,0.91,91% of the population had adopted the stretch or spcialized code as of April 2025 https://www.mass.gov/doc/building-energy-code-adoption-by-municipality/download,state,,,,,,,,,,
reference,"An Act Driving Clean Energy and Offshore Wind (St. 2022, c. 179, § 84) requires the Massachusetts Department of Energy Resources (DOER) to establish a demonstration project in which not more than ten cities and towns may adopt and amend general or zoning ordinances or by-laws that require new building construction or major renovation projects to be fossil fuel-free, and enforce restrictions and prohibitions on new building construction and major renovation projects that are not fossil fuel-free, including through the withholding or conditioning of building permits. 

Accepted towns include Arlington, Newton, Acton, Aquinnah, Brookline, Cambridge, Concord, Lincoln, Northampton and Lexington.

Massachusetts will allow municipalities to begin pilot programs that may prohibit the use of fossil fuels in new buildings. Expecting a shift away from gas, starting in 2025, Massachusetts will eliminate incentives for new fossil-fuel equipment, except as a backup thermal energy source for heat pumps. The state will also offer research and grants to promote the use of ground-source heat pump systems, which take advantage of more consistent underground temperatures, making them more efficient than air-source heat pumps.  

https://www.mass.gov/info-details/municipal-fossil-fuel-free-building-demonstration-program

https://www.aceee.org/blog-post/2022/08/three-states-enact-integrated-plans-decarbonize-buildings",MA,"all residential, all commercial",100,,,2025,0.354,"Filtered for Middlesex, Dukes, Hampshire, and Norfolk counties
Site_energy",local,,,,,,,,,,
aggressive,"Massachusetts Stretch Energy Code serves as a more energy-efficient alternative to the Base Code. The Stretch code increases the energy efficiency requirements for all new residential and commercial buildings, as well as for additions and renovations that require building permits.The Stretch Code applies to both new residential and commercial buildings, as well as certain renovations and additions requiring building permits. Municipalities may adopt the Stretch Code, and as of January 2023, 300 out of 351 Massachusetts cities and towns had done so.

https://www.mass.gov/regulations/225-CMR-2200-massachusetts-stretch-code-and-specialized-code-for-low-rise-residential-2025-residential-low-rise-amendments-to-iecc2021-and-irc-2021-chapter-11-energy-efficiency",MA,"all residential, all commercial",,stretch,20,2025,0.91,91% of the population had adopted the stretch or spcialized code as of April 2025 https://www.mass.gov/doc/building-energy-code-adoption-by-municipality/download,local,,,,,,,,,,
aggressive,Extend stretch to entire state beginning in 2030 and assume it reflects the specialized code (with its additional electrification requirement).,MA,"all residential, all commercial",100,stretch,20,2030,1,,state,,,,,,,,,,
reference,"Montgomery County, MD, passed Bill 13-22, Buildings – Comprehensive Building Decarbonization, which will require the County Executive to issue all-electric building standards for new construction by Dec. 31, 2026. 

https://www2.montgomerycountymd.gov/mcgportalapps/Press_Detail.aspx?Item_ID=42501&Dept=1",MD,"all residential, all commercial",100,stretch,,2027,0.16,,local,,,,,,,,,,
aggressive,"Montgomery County, MD, passed Bill 13-22, Buildings – Comprehensive Building Decarbonization, which will require the County Executive to issue all-electric building standards for new construction by Dec. 31, 2026. 

https://www2.montgomerycountymd.gov/mcgportalapps/Press_Detail.aspx?Item_ID=42501&Dept=1",MD,"all residential, all commercial",100,stretch,,2027,0.16,,local,,,,,,,,,,
aggressive,Assume state-wide code similar to CA enacted by 2030.,MD,"all residential, all commercial",100,adopt current,,2030,0.8,Assume majority of builders go electric route to avoid more stringent efficiency requirements.,state,,,,,,,,,,
aggressive,Assume state-wide code similar to CA enacted by 2030.,MD,"all residential, all commercial",,stretch,20,2030,0.2,Assume minority of builders install gas while choosing to meet more stringent efficiency requirements.,state,,,,,,,,,,
reference,"In addition to updating Maine's base energy code, the state legislature also mandated the creation of the State’s first energy stretch code, which the MUBEC Board set as the IECC 2021. Municipalities can choose to adopt this code in lieu of the state’s base code. 

https://southportland.gov/673/Energy-Stretch-Code",ME,"all residential, all commercial",,adopt current,,2022,0.049,Only currently adopted in Portland and South Portland.,local,,,,,,,,,,
aggressive,See reference.,ME,"all residential, all commercial",,adopt current,,2022,0.049,Only currently adopted in Portland and South Portland.,local,,,,,,,,,,
aggressive,Assume state-wide code similar to CA enacted by 2030.,ME,"all residential, all commercial",100,adopt current,,2030,0.8,Assume majority of builders go electric route to avoid more stringent efficiency requirements.,state,,,,,,,,,,
